Numéro de la tâche;Date de création de la tâche;Nom de la personne initiatrice de la tâche;Site de réalisation de la tâche;Nature de la tâche;Description de la tâche;Prochaine date pour la tâche;Durée estimée en heure(s) ou journée(s);Nombre de personnes souhaitées;Service mandaté pour la réalisation de la tâche;Journée de la semaine pour réaliser la tâche;Tâche réalisée toutes les X semaines;Journée du mois pour émettre la tâche;Tâche émise tous les X mois
T_R119;45960;Jan Callemeyn;MRS;Entretien général;Niv - 1 Buanderie: Entretien semestriel des 2 séchoirs Primus: enlever et aspirer toutes le peluches internes des machines et dépoussiérage des résistances chauffantes si nécessaire. Merci;46143;;2;Ouvriers_CPAS;;;1;6
T_R106;45581;Jan Callemeyn;MRS;Entretien général;Niv 0: local fumoir: purificateur d'air: descendre l'appareil à l'atelier et nettoyer les grilles externes ainsi que le capteur de mesure au compresseur, Ne pas remplacer le filtre !;46143;;1;Ouvriers_CPAS;;;5;12
T_R091;45237;Jan Callemeyn;MRS;Entretien général;"Niv - 1; chaufferie; local ballons - adoucisseur: Injecter 1 flacon de 1 l (de produit régénérant) dans le tube du bac à sel de l'adoucisseur. Noter si c'est la bonbonne U1 ou U2 qui est en fonction. Le lendemain (une fois que l'eau passe par la seconde bonbonne, réinjecter 1 l de produit régénérant dans le même tube du bac à sel.";46143;;1;Ouvriers_CPAS;;;1;3
T_R017;43780;Jan Callemeyn;MRS;HVAC;Contrôle auditif et visuel simple du fonctionnement permanent du groupe GE6;46147;;1;Ouvriers_CPAS;Mardi;4;;
T_R013;43773;Jan Callemeyn;MRS;Entretien général;Mesure de la dureté de l'eau. Le matériel de mesure est fourni.  Signaler un manquement dans le process auprès des services responsables,;46147;;1;Ouvriers_CPAS;Mardi;4;;
T_R120;45967;Jan Callemeyn;MRS;Entretien général;Vérifier le stock des courroies des groupes de ventilation. Les références de celles-ci sont affichées dans le local serveur. Pas oublier que chaque  ventilateur est entraîné par 2 courroies identiques.;46148;;1;Ouvriers_CPAS;;;10;6
T_R063;44489;Jan Callemeyn;MRS;Entretien général;A votre meilleure convenance: enlever tous les humidificateurs suspendus aux radiateurs de la MRS, les nettoyer et les stocker pour la saison prochaine….;46152;;;Ouvriers_CPAS;;;10;12
T_R003;43753;Jan Callemeyn;MRS;Chauffage;Ouverture et fermeture de l'ensemble des vannes des circuits de chauffage - local chaufferie et niveau 3;46152;2h;1;Ouvriers_CPAS;;;10;6
T_R012;43770;Jan Callemeyn;MRS;Chauffage;Vérification de la bonne évacuation des condensats des chaudières, ainsi que du niveau d'eau dans tous les vases d'expansion de la MRS (chauffage en particilier);46153;;1;Ouvriers_CPAS;Lundi;4;;
T_R098;45257;Jan Callemeyn;MRS;Entretien général;Merci de prévoir la maintenance annuelle de l'adoucisseur Durlem  (Merci de fournir un rapport de visite);46157;;1;Ouvriers_CPAS;;;15;12
T_R097;45257;Jan Callemeyn;MRS;Entretien général;Merci de prévoir la maintenance annuelle du groupe électrogène de secours Caterpillar  (Merci de fournir un rapport de visite);46157;;1;Ouvriers_CPAS;;;15;12
